"Organization", "Name", "LinkedIn", "Designation", "Tags", "Location", "Twitter", "Class"
circular-protocol,David Cutler,https://www.davidcutler.net/,Co-Founder & Partnerships,,"Rockport, Massachusetts, United States",https://www.twitter.com/davidcutler,B
trova-health,Trey Nelson,https://www.linkedin.com/in/treyenelson,Technical Co-Founder,Management,,,A
trova-health,Dana Allison,https://www.linkedin.com/in/dana-allison-9129084,Founder and CEO,,"Asheville, North Carolina, United States",https://twitter.com/crunchbase,B
trova-health,Balaji Varanasi,https://www.linkedin.com/in/balajivaranasi/,CTO,,"Salt Lake City, Utah, United States",https://twitter.com/crunchbase,B
trova-health,Dr. Truida Botha,,Director of Clinical Operations,,,https://twitter.com/crunchbase,B
trova-health,Balaji Varanasi,https://www.linkedin.com/in/balajivaranasi/,CTO,,"Salt Lake City, Utah, United States",https://twitter.com/crunchbase,B
momentum-health-7931,Amy Dixson,https://www.linkedin.com/in/amy-dixson-87b63978,Healthcare,Non-Management,,,A
momentum-health-7931,Braden Beaver,https://www.linkedin.com/in/braden-beaver-4a894a129,Healthcare,Non-Management,,,A
momentum-health-7931,Bryan Christopher Moon,https://www.linkedin.com/in/bryanchristophermoon,Education,Non-Management,,,A
momentum-health-7931,"Karen May, CCSP, CCIP, DC",https://www.linkedin.com/in/dr-karen-may-dc,Business Management,Non-Management,,,A
momentum-health-7931,Lindy Camardella,https://www.linkedin.com/in/lindy-camardella-948ba17,Healthcare,Non-Management,,,A
momentum-health-7931,Mackenzie Wilson,https://www.linkedin.com/in/mackenziebwilson,Sales and Support,Non-Management,,,A
momentum-health-7931,Sylvain Le Beux,https://www.linkedin.com/in/sylvain-le-beux-b8b21449,Information Technology,"Non-Management
Information Technology",,,A
simmunome-ai,Armstrong Murira,https://www.linkedin.com/in/armstrong-murira-a080b223,Marketing and Product,Manager,,,A
simmunome-ai,Nardin Nakhla,https://www.facebook.com/nardin.nakhla,CTO and Co-Founder,,"Montréal, Quebec, Canada",https://twitter.com/crunchbase,B
attest-laboratories,David O'Brien,https://www.linkedin.com/in/david-obrien,President and Founder,,"Toronto, Ontario, Canada",https://twitter.com/crunchbase,B
wave-view-imaging,Sarah Al-Sheikhly,https://www.linkedin.com/in/sarahal-sheikhly,Senior Manager Business Operations,"Manager
Operations",,,A
wave-view-imaging,Marissa Bennett,https://www.linkedin.com/in/marissaviewimaging,Sales and Support,Director,,,A
wave-view-imaging,AJ Sartor,https://www.linkedin.com/in/ajsartorphoto,Business Management,Manager,,,A
wave-view-imaging,Naomi Rivas,https://www.linkedin.com/in/naomi-rivas-5031284,Business Management,Manager,,,A
wave-view-imaging,Chloé Callahan,https://www.linkedin.com/in/chloecallahan,Marketing and Product,Non-Management,,,A
wave-view-imaging,Karl-Dimitri Garde Due,https://www.linkedin.com/in/karldimitri,Engineering,"Non-Management
Engineering",,,A
wave-view-imaging,Leah Muhlenfeld,https://www.linkedin.com/in/leahmuhlenfeld,Marketing and Product,Non-Management,,,A
wave-view-imaging,View Imaging,https://www.linkedin.com/in/view-imaging-2ba62723,Marketing and Product,Non-Management,,,A
wave-view-imaging,VIEW imaging,https://www.linkedin.com/in/view-imaging-06523a10,Business Management,Non-Management,,,A
wave-view-imaging,Zeana Llamas (she/her),https://www.linkedin.com/in/llamaz,Marketing and Product,Non-Management,,,A
icardio-ai,Roman Sandler,https://www.linkedin.com/in/roman-sandler,Chief Scientist and Cofounder,"Non-Management, Executive
Engineering",,,A
icardio-ai,Thomas Biggs,https://www.linkedin.com/in/thomas-a-biggs-md-78054118,Chief Medical Officer,"Executive
Management",,,A
icardio-ai,Daniel Sokol,https://www.linkedin.com/in/daniel-sokol-b69b0a10b,Software Engineer,"Non-Management
Engineering",,,A
icardio-ai,Joseph Sokol,https://www.linkedin.com/in/joseph-sokol-ab5515126,CEO & Founder,"Executive
Management",,,A
icardio-ai,Joseph Sokol,,Founder and CEO,,,https://twitter.com/crunchbase,B
icardio-ai,Jacob Nerenberg,,COO,,,https://twitter.com/crunchbase,B
kismet-health,Kim Williamson,https://www.linkedin.com/in/kim-williamson-0a14006,Creative Director,"Director
Marketing",,,A
kismet-health,Jeremy Gouveia,https://www.linkedin.com/in/jeremygouveia,Chief Executive Officer,"Non-Management
Management",,,A
voicemed,Arianna Arienzo,https://www.linkedin.com/in/arienzoarianna,Business Management,Non-Management,,,A
voicemed,Arianna Arienzo,,Founder & CEO,,,https://twitter.com/crunchbase,B
emely-ai,Kevin McDonald,https://www.linkedin.com/in/kevin-mcdonald-08346077,Vice President of Technology,"Non-Management
Information Technology",,,A
aster-f110,Fifi Kara,https://heyfifi.com/,Co-Founder & CEO,,"San Francisco, California, United States",https://twitter.com/crunchbase,B
nanograb,Shanil Panara,,Silico lead,,,https://www.twitter.com/shanilpanara,B
nanograb,Debesh Mandal,,CEO,,,https://www.twitter.com/debesh_man,B
lifestylerx,Jason Kerkvliet,https://www.linkedin.com/in/jason-kerkvliet-292685107,Business Management,Non-Management,,,A
lifestylerx,Brendan Byrne,,Co-founder and Chief Medical Officer,,,https://twitter.com/crunchbase,B
lifestylerx,Jason Kerkvliet,,Co-Founder and CEO,,,https://twitter.com/crunchbase,B
lifestylerx,Daniel Pfingstgraef,,Co-Founder and CTO,,,https://twitter.com/crunchbase,B
lifestylerx,Jack Hilliard,,Co-Founder & COO,,,https://twitter.com/crunchbase,B
preactiv,Alec Snow,https://www.linkedin.com/in/alec-snow-b85358157,Co-Founder,,"Bristol, Bristol, City of, United Kingdom",https://twitter.com/crunchbase,B
preactiv,Rebecca Allam,https://www.linkedin.com/in/rebecca-allam-a859a41a9,Co-Founder,,"Bristol, Bristol, City of, United Kingdom",https://twitter.com/crunchbase,B
preactiv,Chris Cox,https://www.linkedin.com/in/chris-cox-2b5733b,Chief Technology Officer,,"London, England, United Kingdom",https://twitter.com/crunchbase,B
smarter-diagnostics,Bartosz Borucki,,Board Member,,,https://twitter.com/crunchbase,B
smarter-diagnostics,Norbert Kapiński,,Board Member,,,https://twitter.com/crunchbase,B
afford-health,Nelson Mitchell,,Founder and CEO,,,https://twitter.com/crunchbase,B
zeph-technologies,Kate Graff-Radford,https://www.linkedin.com/in/kategraffradford,Marketing and Product,Director,,,A
zeph-technologies,Brian Mubili,https://www.linkedin.com/in/brian-mubili-21198481,Finance and Administration,Non-Management,,,A
zeph-technologies,Mimi Gendreau Kigawa,https://www.linkedin.com/in/mimigendreaukigawa,Business Management,Non-Management,,,A
complete-wellness-solutions,Chuck Zumbrun,https://www.linkedin.com/in/chuckzumbrun,Chief Technology Officer,"Executive
Management",,,A
complete-wellness-solutions,Jason Edgar,https://www.linkedin.com/in/jason-edgar-67214a45,Business Management,Manager,,,A
complete-wellness-solutions,Linda Passmore,,Founder and CEO,,,https://twitter.com/crunchbase,B
anaphero,Jeffrey Lamothe,,CTO and co- founder,,,https://twitter.com/crunchbase,B
anaphero,Ryan Gallagher,,CEO and Co-Founder,,,https://twitter.com/rgallaghermd?lang=en,B
sequence2script,Chad Bousman,https://www.linkedin.com/in/chad-bousman-0b1410a,CEO/Founder,"Executive
Management",,,A
hona-ai,Adam Steinle,,CEO,,,https://twitter.com/crunchbase,B
hona-ai,Shuying Zhang,,CTO,,,https://twitter.com/crunchbase,B
hona-ai,Danielle J. Yoesep,,COO,,,https://twitter.com/djyoesep?lang=en,B
pandan,Ihsaan Patel,,Co-Founder & CEO,,,https://twitter.com/crunchbase,B
kips-health,Kristyn Ciarlariello,https://www.linkedin.com/in/kristyn-ciarlariello-2319969,Senior Vice President of Lab Services,Non-Management,,,A
kips-health,Angelique Belot,https://www.linkedin.com/in/angelique-belot,"Director, Client Support - RCM",Director,,,A
kips-health,Richard Abujasen,https://www.linkedin.com/in/richard-abujasen-21409ba0,Director of Support - EMR,Director,,,A
kips-health,Casey Aldridge,https://www.linkedin.com/in/caseyaldridge,Senior Manager Talent Acquisition,"Manager
Human Resources",,,A
kips-health,Ian O'Connell,https://www.linkedin.com/in/ian-o-connell-668ba4186,Client Support Manager,Manager,,,A
kips-health,Jennifer Laguardia,https://www.linkedin.com/in/jennifer-laguardia-90761a164,Collections Manager,Manager,,,A
kips-health,Justine Tran,https://www.linkedin.com/in/justine-tran-bba333172,Implementation Manager,"Manager
Engineering",,,A
kips-health,Kendall Snow,https://www.linkedin.com/in/kendall-snow-196039105,Enterprise Success Manager,Manager,,,A
kips-health,Liz Swetnam,https://www.linkedin.com/in/elizabeth-swetnam-0439717,Enterprise Customer Success Manager,Manager,,,A
kips-health,Phillip Smith,https://www.linkedin.com/in/phillip-b-smith-profile,Product Manager,Manager,,,A
kips-health,Jarrett Perkins,,CEO,,,https://www.twitter.com/jarrett_perkins,B
simbie-health,Rachel O Driscoll,,COO,,,https://twitter.com/crunchbase,B
simbie-health,Natalia Perina,,CTO,,,https://twitter.com/crunchbase,B
simbie-health,Natalia Neha Khosla,,CEO,,,https://twitter.com/crunchbase,B
health-harbor,Nathan Amin,https://www.linkedin.com/in/nathan-amin-06a60469,CPO/Co-Founder,"Non-Management, Executive
Management",,,A
health-harbor,Alan Liu,https://www.linkedin.com/in/alanliu96,Business Management,Non-Management,,,A
health-harbor,Nathan Amin,,CPO,,,https://twitter.com/crunchbase,B
health-harbor,Alan Liu,,CEO,,,https://www.twitter.com/AlanLiu96,B
scritch,Claire Lee,,Co-founder & CEO,,,https://twitter.com/sk_clairelee,B
scritch,Rachel Lee,,Co-Founder & CTO,,,https://twitter.com/crunchbase,B
mango-health-1713,Zachary Gittelman,,Co-Founder and CTO,,,https://twitter.com/crunchbase,B
mango-health-1713,Jamison Mercurio,,Co-Founder and CEO,,,https://twitter.com/crunchbase,B
radmate-ai,Adam Skrocki,,"Co-Founder, CTO",,,https://twitter.com/crunchbase,B
radmate-ai,Mohamed Khalifa,,Co-Founder & CEO,,,https://twitter.com/MohamedK6565,B
selera-medical,Stacie Arechavala,,Co-founder and CEO,,,https://twitter.com/crunchbase,B
selera-medical,Kevin Bui,,Co-founder and CTO,,,https://twitter.com/crunchbase,B
beaming-health,Philip McHugh,https://www.linkedin.com/in/philip-mchugh-77957913b,Operations,"Director
Operations",,,A
beaming-health,Christopher Olmanson,https://www.linkedin.com/in/christopher-olmanson,Business Management,Non-Management,,,A
beaming-health,"Marissa ""Missy"" Pittard",https://www.linkedin.com/in/marissapittard,Consulting,Non-Management,,,A
altheia-predictive-health,Sushmeeta Jolly Nanda,,CEO/CO-Founder,,,https://twitter.com/crunchbase,B
altheia-predictive-health,Barbara Hayes,,Chief Growth Officer/Co-Founder,,,https://twitter.com/crunchbase,B
altheia-predictive-health,Lisa Fridland,,"Chief Operating Officer, Co-Founder",,,https://twitter.com/crunchbase,B
somnapp,Shawn Shivdat,https://www.facebook.com/shawnshivdat,CEO,,"Cambridge, Massachusetts, United States",https://twitter.com/crunchbase,B
eris-biotech,Evita Weagel,,Co-Founder & CEO,,,https://twitter.com/crunchbase,B
miracle-c0b5,Jin Kim,https://jinkim.xyz/,Founder and CEO,,"San Francisco, California, United States",https://twitter.com/crunchbase,B
beginly-health,Kristi Olsen,,Chief Strategy Officer,,,https://twitter.com/crunchbase,B
beginly-health,Stephanie Grein,,CEO,,,https://twitter.com/crunchbase,B
beginly-health,Sean Shoffstall,,Chief Product and Technology Officer,,,https://twitter.com/shoffstall,B
juxta-96e9,Hasan Aybars Ari,,Founder and CTO,,,https://twitter.com/crunchbase,B
juxta-96e9,John Ferrara,,Founder and CEO,,,https://twitter.com/crunchbase,B
attunement,Briar Smith,,CTO and Cofounder,,,https://twitter.com/crunchbase,B
attunement,Angelia Muller,,CEO and co-founder,,"San Francisco, California, United States",https://twitter.com/lokosbasilisk?lang=en,B
medon-b42b,Roberts Lasovskis,https://www.facebook.com/roberts.lasovskis,Co-Founder & CEO,,"Latvia, Europe",https://www.twitter.com/Roberts_Las,B
medon-b42b,Martin Eagle,,Health care manager & founder,,"Riga, Riga, Latvia",https://twitter.com/crunchbase,B
medon-b42b,Andrejs Mironovs,https://www.linkedin.com/in/andrejs-mironovs-3781569b,Co-Founder,,"Riga, Latvia, Europe",https://twitter.com/crunchbase,B
medon-b42b,Helvey Henschel,,Founder,,"Riga, Riga, Latvia",https://twitter.com/crunchbase,B
aurasense,David Charlot,https://www.linkedin.com/in/dcharlot,"Head of Product, CEO & Founder","Non-Management, Executive
Management",,,A
aurasense,Daniel Smith,,Chief Digital Health Officer,,,https://twitter.com/crunchbase,B
aurasense,Amber Ivey,,Co founder and President,,,https://twitter.com/crunchbase,B
aurasense,David Charlot,,"Head of Product, CEO & Founder",,,https://twitter.com/crunchbase,B
remote-coach,Ben Camara,https://www.linkedin.com/in/ben-camara-410124a/,Founder and CEO,,"London, England, United Kingdom",https://twitter.com/bencamara,B
ai-optics,Robert Tomek,https://www.linkedin.com/in/rtomek,Engineering,"Non-Management
Engineering, Management",,,A
ai-optics,Andrew DiGiore,https://www.linkedin.com/in/drewdig,Cofounder & COO,"Non-Management, Executive
Operations",,,A
ai-optics,Luke Moretti,https://www.linkedin.com/in/luke-moretti-1954541a9,Co-Founder & CEO,"Executive
Management",,,A
ai-optics,Max Colbert,https://www.linkedin.com/in/max-colbert-md-mba,Research and Medical Strategy Lead,"Manager
Engineering",,,A
ai-optics,Utkarsh Sharma,https://www.linkedin.com/in/utkarshsharma1,Chief Technology Officer,"Non-Management
Engineering",,,A
ai-optics,Luke Moretti,https://www.linkedin.com/in/lukemoretti,Business Management,Non-Management,,,A
ai-optics,Sagar Soni,https://www.linkedin.com/in/sagarssoni,Engineering,"Non-Management
Engineering",,,A
ai-optics,Shiva Sanketh Ramagiri Mathad,https://www.linkedin.com/in/shivasanketh-rm,Engineering,"Non-Management
Engineering",,,A
ai-optics,Andrew DiGiore,https://www.linkedin.com/in/drewdig,Co-Founder & COO,,"New York, New York, United States",https://twitter.com/crunchbase,B
ai-optics,Luke Moretti,https://www.linkedin.com/in/lukemoretti,Co-Founder & CEO,,"Scarsdale, New York, United States",https://twitter.com/crunchbase,B
obento-health,Naxin Wang,https://www.linkedin.com/in/naxinwang,"Co-Founder, CEO","Executive
Management",,,A
obento-health,Rodrigo Gutierrez,https://www.linkedin.com/in/rodgutierrez,CTO and Co-Founder,"Executive
Engineering",,,A
obento-health,Rodrigo Gutierrez,,Co-founder and CTO,,,https://twitter.com/rawdrigo,B
obento-health,Naxin Wang,,Co-founder and CEO,,,https://twitter.com/crunchbase,B
aminochain,Caspar Barnes,,Founder,,,https://twitter.com/crunchbase,B
cleancard,Luca Springer,,CEO & Founder,,,https://twitter.com/crunchbase,B
cleancard,Thomas Carroll,,CSO & Co-founder,,,https://twitter.com/crunchbase,B
carl-de34,Niclas Sellebraten,https://www.facebook.com/johanssondelux,Creative Director & Co-Founder,,"Stockholm, Stockholms Lan, Sweden",https://www.twitter.com/Sellebraten,B
carl-de34,Farid Chaouki,https://www.facebook.com/farid.chaouki,CEO & CoFounder,,"Barcelona, Catalonia, Spain",http://twitter.com/faridchaouki,B
tissuelabs,Tácia Liguori,https://www.linkedin.com/in/tacialiguori,Business Management,"Non-Management
Operations",,,A
tissuelabs,Gabriel Liguori,https://web.facebook.com/GabrielLiguori,Founder and CEO,,"São Paulo, Sao Paulo, Brazil",https://twitter.com/GabrielLiguori,B
tissuelabs,Emerson Moretto,https://www.linkedin.com/in/emersonmoretto/,Co-Founder,,"São Paulo, Sao Paulo, Brazil",https://twitter.com/crunchbase,B
tissuelabs,Tácia Liguori,https://www.linkedin.com/in/tacialiguori,Chief Scientific Officer and Chief of Staff,,"São Paulo, Sao Paulo, Brazil",https://twitter.com/crunchbase,B
decoda-health,Daniyal Afzal,,CEO & Founder,,,https://twitter.com/crunchbase,B
dapper-care,David Pachkofsky,https://www.linkedin.com/in/davidpachkofsky,Founder & Chief Executive Officer,"Executive
Sales",,,A
dapper-care,Chris Putnam,https://www.linkedin.com/in/chris-putnam-29458637,Director of Business Development,Director,,,A
dapper-care,David Pachkofsky,,Founder & CEO,,"Los Altos, California, United States",https://twitter.com/davidpachkofsky,B
paradocs-health,Omar Mohtar,https://www.linkedin.com/in/omar-mohtar-md-phd-887976149,Founder & CEO,,"Houston, Texas, United States",https://twitter.com/crunchbase,B
paradocs-health,Dhini Nasution,https://www.facebook.com/dhini.nasution.49,"Founder, President & COO",,"Houston, Texas, United States",https://twitter.com/crunchbase,B
kivo-health,Clayton Williams,https://www.linkedin.com/in/claytonwwilliams,Consulting,Non-Management,,,A
kivo-health,Haley Pearce,https://www.linkedin.com/in/haley-pearce-9b0343160,Healthcare,Non-Management,,,A
kivo-health,Victor Sadauskas,https://www.linkedin.com/in/victorsadauskas,Cofounder / CEO,"Executive
Medical & Science",,,A
kivo-health,Vaughn Koch,https://www.linkedin.com/in/vaughnkoch/,Founder and CTO,,"Seattle, Washington, United States",https://twitter.com/vaughnkoch,B
kivo-health,Victor Sadauskas,https://www.linkedin.com/in/victorsadauskas/,Co-founder and CEO,,"San Francisco, California, United States",https://twitter.com/crunchbase,B
deepmirror,Shangfu Peng,https://www.linkedin.com/in/shangfu-peng-645b7231,"Founding Team, Infrastructure","Non-Management
Engineering",,,A
deepmirror,Yizi Wu,https://www.linkedin.com/in/wuyizi,Business Management,Non-Management,,,A
deepmirror,Ryan Greenhalgh,,CTO,,,https://twitter.com/crunchbase,B
deepmirror,Andrea Dimitracopoulos,,CPO,,,https://twitter.com/crunchbase,B
deepmirror,Max Jakobs,,CEO,,,https://twitter.com/crunchbase,B
onetwenty,Aous Khadhraoui,https://www.facebook.com/medaws.khadraoui,Machine Learning Engineer,,"Zürich, Zurich, Switzerland",https://www.twitter.com/medawskhadraoui,B
onetwenty,Fredrik Debong,https://about.me/fdebong,Chief Compliance Officer,,,http://twitter.com/fdebong,B
onetwenty,Michael Rottmann,,"CEO, CPO",,,https://twitter.com/netunion,B
healf-mx,Rafael Gutiérrez,,Head of Operations,,,https://twitter.com/crunchbase,B
healf-mx,Federico Fernández de la Regata Torres,,CEO and Founder,,,https://twitter.com/crunchbase,B
spoony,Nicholas Carlton,,CEO,,,https://twitter.com/crunchbase,B
spoony,Kenneth Liang,,CTO,,,https://twitter.com/crunchbase,B
kento-health,David Kent,https://www.linkedin.com/in/david-kent-35081620,Business Management,Non-Management,,,A
kento-health,Max Leca,https://www.linkedin.com/in/maxleca,Business Management,Non-Management,,,A
kento-health,Mike F.,https://www.linkedin.com/in/mike-furino-cpa-ca,Business Management,Non-Management,,,A
kento-health,Kris Matela,https://www.linkedin.com/in/kris-matela-3977b513,Education,Non-Management,,,A
the-convoy,Yasin Abbak,https://www.linkedin.com/in/yasinabbak,CEO / CoFounder,"Non-Management
Management",,,A
the-convoy,Yasin Abbak,https://www.facebook.com/YouFoundYasin,CEO / Founder,,"New York, New York, United States",https://twitter.com/youfoundyasin,B
the-convoy,Ceazarr Townsend,,CTO / Founder,,,https://twitter.com/crunchbase,B
the-convoy,Melanie Deziel,https://www.storyfuel.co/,"VP of Marketing, Co-Founder",,"Raleigh, North Carolina, United States",https://twitter.com/mdeziel,B
myomar-molecular,Alyne Teixeira,https://www.linkedin.com/in/alyne-teixeira,VP Research Scientist,"Non-Management
Management",,,A
myomar-molecular,Rafaela Andrade,https://myomarmolecular.ca/,Co-Founder and CEO,,"Halifax, Nova Scotia, Canada",https://twitter.com/crunchbase,B
grapefruit-health,Brandon Hedgspeth,https://www.linkedin.com/in/brandon-hedgspeth-dnp-mba-rn-fache-cpps-b1007495,Director of Clinical Services,"Director
Sales",,,A
grapefruit-health,Eric Alvarez,https://www.linkedin.com/in/eric-alvarez-grapefruithealth,Business Management,Non-Management,,,A
